豚丼	ぶたどん	ブタドン
カレーラーメン	かれーらーめん	カレーラーメン
ザンギ	ざんぎ	ザンギ
エスカロップ	えすかろっぷ	エスカロップ
訓子府カツ丼	くんねっぷかつどん	クンネップカツドン
オホーツク北見塩やきそば	おほーつくきたみしおやきそば	オホーツクキタミシオヤキソバ
味噌カレー牛乳ラーメン	みそかれーぎゅうにゅうらーめん	ミソカレーギュウニュウラーメン
生姜味噌おでん	しょうがみそおでん	ショウガミソオデン
いがめんち	いがめんち	イガメンチ
黒石つゆやきそば	くろいしつゆやきそば	クロイシツユヤキソバ
グラタンフライ	ぐらたんふらい	グラタンフライ
八戸せんべい汁	はちのへせんべいじる	ハチノヘセンベイジル
盛岡じゃじゃ麺	もりおかじゃじゃめん	モリオカジャジャメン
盛岡冷麺	もりおかれいめん	モリオカレイメン
横手焼きそば	よこてやきそば	ヨコテヤキソバ
油麩丼	あぶらふどん	アブラフドン
冷やしラーメン	ひやしらーめん	ヒヤシラーメン
冷たい肉そば	つめたいにくそば	ツメタイニクソバ
クリームボックス	くりーむぼっくす	クリームボックス
三春グルメンチ	みはるぐるめんち	ミハルグルメンチ
なみえ焼きそば	なみえやきそば	ナミエヤキソバ
みつだんご	みつだんご	ミツダンゴ
北条米スクリーム	ほうじょうまいすくりーむ	ホウジョウマイスクリーム
龍ケ崎まいんコロッケ	りゅうがさきまいんころっけ	リュウガサキマインコロッケ
宇都宮餃子	うつのみやぎょうざ	ウツノミヤギョウザ
宇都宮焼きそば	うつのみややきそば	ウツノミヤヤキソバ
レモン牛乳	れもんぎゅうにゅう	レモンギュウニュウ
佐野ラーメン	さのらーめん	サノラーメン
焼きまんじゅう	やきまんじゅう	ヤキマンジュウ
伊勢崎もんじゃ	いせざきもんじゃ	イセザキモンジャ
太田焼きそば	おおたやきそば	オオタヤキソバ
桐生うどん	きりゅううどん	キリュウウドン
ソースカツ丼	そーすかつどん	ソースカツドン
タルタルカツ丼	たるたるかつどん	タルタルカツドン
やきとり	やきとり	ヤキトリ
すったて	すったて	スッタテ
ゼリーフライ	ぜりーふらい	ゼリーフライ
フライ	ふらい	フライ
味噌ポテト	みそぽてと	ミソポテト
勝浦タンタンメン	かつうらたんたんめん	カツウラタンタンメン
竹岡ラーメン	たけおからーめん	タケオカラーメン
もんじゃ焼き	もんじゃやき	モンジャヤキ
からし焼	からしやき	カラシヤキ
八王子ラーメン	はちおうじらーめん	ハチオウジラーメン
厚木シロコロ・ホルモン	あつぎしろころほるもん	アツギシロコロホルモン
足柄まさカリー	あしがらまさかりー	アシガラマサカリー
イタリアン	いたりあん	イタリアン
糸魚川ブラック焼そば	いといがわぶらっくやきそば	イトイガワブラックヤキソバ
とん汁ラーメン	とんじるらーめん	トンジルラーメン
甲府鳥もつ煮	こうふとりもつに	コウフトリモツニ
吉田のうどん	よしだのうどん	ヨシダノウドン
ローメン	ろーめん	ローメン
駒ヶ根ソースかつ丼	こまがねそーすかつどん	コマガネソースカツドン
安養寺ラーメン	あんようじらーめん	アンヨウジラーメン
ごぼとん丼	ごぼとんどん	ゴボトンドン
高岡コロッケ	たかおかころっけ	タカオカコロッケ
高岡大仏コロッケ	たかおかだいぶつころっけ	タカオカダイブツコロッケ
高岡グリーンラーメン	たかおかぐりーんらーめん	タカオカグリーンラーメン
富山ブラック	とやまぶらっく	トヤマブラック
富山ホワイト	とやまほわいと	トヤマホワイト
入善ブラウンラーメン	にゅうぜんぶらうんらーめん	ニュウゼンブラウンラーメン
おやべホワイトラーメン	おやべほわいとらーめん	オヤベホワイトラーメン
氷見牛カレー	ひみぎゅうかれー	ヒミギュウカレー
白エビバーガー	しろえびばーがー	シロエビバーガー
富山おでん	とやまおでん	トヤマオデン
金沢カレー	かなざわかれー	カナザワカレー
ハントンライス	はんとんらいす	ハントンライス
ボルガライス	ぼるがらいす	ボルガライス
醤油カツ丼	しょうゆかつどん	ショウユカツドン
とんちゃん	とんちゃん	トンチャン
鶏ちゃん	とりちゃん	トリチャン
漬物ステーキ	つけものすてーき	ツケモノステーキ
奥美濃カレー	おくみのかれー	オクミノカレー
各務原キムチ	かかみがはらきむち	カカミガハラキムチ
富士宮やきそば	ふじのみややきそば	フジノミヤヤキソバ
しぐれ焼き	しぐれやき	シグレヤキ
遠州焼き	えんしゅうやき	エンシュウヤキ
つけナポリタン	つけなぽりたん	ツケナポリタン
静岡おでん	しずおかおでん	シズオカオデン
袋井宿たまごふわふわ	ふくろいじゅくたまごふわふわ	フクロイジュクタマゴフワフワ
すその水ギョーザ	すそのすいぎょうざ	スソノスイギョウザ
手羽先唐揚げ	てばさきからあげ	テバサキカラアゲ
あんかけスパゲティ	あんかけすぱげってぃ	アンカケスパゲッティ
豊橋カレーうどん	とよはしかれーうどん	トヨハシカレーウドン
しぐれ肉巻きおにぎり	しぐれにくまきおにぎり	シグレニクマキオニギリ
四日市とんてき	よっかいちとんてき	ヨッカイチトンテキ
亀山みそ焼きうどん	かめやまみそやきうどん	カメヤマミソヤキウドン
津ぎょうざ	つぎょうざ	ツギョウザ
鶏焼肉	とりやきにく	トリヤキニク
とばーがー	とばーがー	トバーガー
名張牛汁	なばりぎゅうじる	ナバリギュウジル
サラダパン	さらだぱん	サラダパン
近江ちゃんぽん	おうみちゃんぽん	オウミチャンポン
高島とんちゃん	たかしまとんちゃん	タカシマトンチャン
にしんそば	にしんそば	ニシンソバ
串カツ	くしかつ	クシカツ
どて焼き	どてやき	ドテヤキ
ねぎ焼き	ねぎやき	ネギヤキ
そばめし	そばめし	ソバメシ
ぼっかけ	ぼっかけ	ボッカケ
にくてん	にくてん	ニクテン
玉子焼	たまごやき	タマゴヤキ
かつめし	かつめし	カツメシ
ちゃんぽん焼き	ちゃんぽんやき	チャンポンヤキ
大和肉鶏照焼丼	やまとにくどりてりやきどん	ヤマトニクドリテリヤキドン
大和焼きそうめん	やまとやきそうめん	ヤマトヤキソウメン
カレーにゅうめん	かれーにゅうめん	カレーニュウメン
かっぱ鍋	かっぱなべ	カッパナベ
黒米カレー	くろまいかれー	クロマイカレー
わらび餅	わらびもち	ワラビモチ
葛餅	くずもち	クズモチ
みたらし	みたらし	ミタラシ
フライビンズ	ふらいびんず	フライビンズ
よもぎ餅	よもぎもち	ヨモギモチ
巾着うどん	きんちゃくうどん	キンチャクウドン
バターポテト	ばたーぽてと	バターポテト
奈良漬ガリタルバーガー	ならづけがりたるばーがー	ナラヅケガリタルバーガー
スタミナラーメン	すたみならーめん	スタミナラーメン
マンボ焼き	まんぼやき	マンボヤキ
竜田揚げ	たつたあげ	タツタアゲ
橿原スタミナ焼きそば	かしはらすたみなやきそば	カシハラスタミナヤキソバ
アンフライ	あんふらい	アンフライ
しきしき	しきしき	シキシキ
鮎フライバーガー	あゆふらいばーがー	アユフライバーガー
いもぼた	いもぼた	イモボタ
せち焼き	せちやき	セチヤキ
牛骨ラーメン	ぎゅうこつらーめん	ギュウコツラーメン
赤天	あかてん	アカテン
津山ホルモンうどん	つやまほるもんうどん	ツヤマホルモンウドン
えびめし	えびめし	エビメシ
デミカツ丼	でみかつどん	デミカツドン
ひるぜん焼きそば	ひるぜんやきそば	ヒルゼンヤキソバ
カキオコ	かきおこ	カキオコ
たまの温玉めし	たまのおんたまめし	タマノオンタマメシ
児島たこしお焼そば	こじまたこしおやきそば	コジマタコシオヤキソバ
備中高梁インディアントマト焼きそば	びっちゅうたかはしいんでぃあんとまとやきそば	ビッチュウタカハシインディアントマトヤキソバ
柚子味噌カツ丼	ゆずみそかつどん	ユズミソカツドン
こんにゃくたこ焼き	こんにゃくたこやき	コンニャクタコヤキ
卵かけご飯	たまごかけごはん	タマゴカケゴハン
広島つけ麺	ひろしまつけめん	ヒロシマツケメン
汁なし担々麺	しるなしたんたんめん	シルナシタンタンメン
広島風お好み焼き	ひろしまふうおこのみやき	ヒロシマフウオコノミヤキ
府中焼き	ふちゅうやき	フチュウヤキ
瓦そば	かわらそば	カワラソバ
バリそば	ばりそば	バリソバ
フィッシュカツ	ふぃっしゅかつ	フィッシュカツ
豆天玉焼き	まめてんたまやき	マメテンタマヤキ
とくしまバーガー	とくしまばーがー	トクシマバーガー
アオリイカ黒焼きそば	あおりいかくろやきそば	アオリイカクロヤキソバ
讃岐うどん	さぬきうどん	サヌキウドン
骨付鳥	ほねつきどり	ホネツキドリ
じゃこカツ	じゃこかつ	ジャコカツ
焼豚卵飯	やきぶたたまごめし	ヤキブタタマゴメシ
鍋焼きラーメン	なべやきらーめん	ナベヤキラーメン
天窓	てんまど	テンマド
ちゃんらー	ちゃんらー	チャンラー
シシリアンライス	ししりあんらいす	シシリアンライス
からつバーガー	からつばーがー	カラツバーガー
長崎ちゃんぽん	ながさきちゃんぽん	ナガサキチャンポン
皿うどん	さらうどん	サラウドン
トルコライス	とるこらいす	トルコライス
佐世保バーガー	させぼばーがー	サセボバーガー
太平燕	たいぴーえん	タイピーエン
いきなり団子	いきなりだんご	イキナリダンゴ
ちくわサラダ	ちくわさらだ	チクワサラダ
とり天	とりてん	トリテン
肉巻きおにぎり	にくまきおにぎり	ニクマキオニギリ
辛麺	からめん	カラメン
ヨーグルッペ	よーぐるっぺ	ヨーグルッペ
チキン南蛮	ちきんなんばん	チキンナンバン
じゃりパン	じゃりぱん	ジャリパン
白くま	しろくま	シロクマ
あくまき	あくまき	アクマキ
鹿児島蕎麦	かごしまそば	カゴシマソバ
鶏飯	けいはん	ケイハン
油そうめん	あぶらそうめん	アブラソウメン
沖縄そば	おきなわそば	オキナワソバ
バクダン	ばくだん	バクダン
ヒラヤーチー	ひらやーちー	ヒラヤーチー
ポーポー	ぽーぽー	ポーポー
ちんびん	ちんぴん	チンピン
山羊汁	やぎじる	ヤギジル
牛汁	ぎゅうじる	ギュウジル
タコライス	たこらいす	タコライス
チーイリチャー	ちーいりちゃー	チーイリチャー
足てびち	あしてびち	アシテビチ
